time | phase | epoch | batch | work | done | ETA | loss | card@1 | zone | tile | timing
01:08:38 | 4.2 | 1/10 | 3025/3927 |   7.70% | 1,548,800/20,102,200 | 2h04m | 3.414 | — | — | — | —
01:08:43 | 4.2 | 1/10 | 3050/3927 |   7.77% | 1,561,600/20,102,200 | 2h03m | 3.372 | — | — | — | —
01:08:49 | 4.2 | 1/10 | 3075/3927 |   7.83% | 1,574,400/20,102,200 | 2h03m | 3.399 | — | — | — | —
01:08:54 | 4.2 | 1/10 | 3100/3927 |   7.89% | 1,587,200/20,102,200 | 2h03m | 3.511 | — | — | — | —
01:08:59 | 4.2 | 1/10 | 3125/3927 |   7.96% | 1,600,000/20,102,200 | 2h03m | 3.365 | — | — | — | —
01:09:04 | 4.2 | 1/10 | 3150/3927 |   8.02% | 1,612,800/20,102,200 | 2h03m | 3.507 | — | — | — | —
01:09:09 | 4.2 | 1/10 | 3175/3927 |   8.09% | 1,625,600/20,102,200 | 2h03m | 3.286 | — | — | — | —
01:09:15 | 4.2 | 1/10 | 3200/3927 |   8.15% | 1,638,400/20,102,200 | 2h03m | 3.433 | — | — | — | —
01:09:20 | 4.2 | 1/10 | 3225/3927 |   8.21% | 1,651,200/20,102,200 | 2h03m | 3.361 | — | — | — | —
01:09:25 | 4.2 | 1/10 | 3250/3927 |   8.28% | 1,664,000/20,102,200 | 2h03m | 3.318 | — | — | — | —
01:09:30 | 4.2 | 1/10 | 3275/3927 |   8.34% | 1,676,800/20,102,200 | 2h03m | 3.393 | — | — | — | —
01:09:35 | 4.2 | 1/10 | 3300/3927 |   8.40% | 1,689,600/20,102,200 | 2h03m | 3.395 | — | — | — | —
01:09:40 | 4.2 | 1/10 | 3325/3927 |   8.47% | 1,702,400/20,102,200 | 2h03m | 3.379 | — | — | — | —
01:09:45 | 4.2 | 1/10 | 3350/3927 |   8.53% | 1,715,200/20,102,200 | 2h02m | 3.350 | — | — | — | —
